Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
560	-7383.836	-7351.306	-32.53011	435094.1	18.98484	0.998074	0.999507	1.00049	1.00193	8.740833
570	-7392.264	-7357.198	-35.06521	723265	18.81745	0.998506	0.999618	1.00038	1.0015	8.879314
580	-7376.447	-7350.235	-26.21182	938877.9	18.04108	0.998688	0.999665	1.00033	1.00131	8.403293
590	-7367.788	-7341.855	-25.93311	940366	20.13156	0.99869	0.999665	1.00033	1.00131	8.372887
600	-7376.105	-7343.405	-32.70062	356811.3	20.95178	0.997873	0.999456	1.00054	1.00213	8.667152
610	-7374.864	-7341.572	-33.29226	411969.7	20.24287	0.99802	0.999493	1.00051	1.00198	8.733144
620	-7365.428	-7333.936	-31.4918	448233.5	17.78759	0.998102	0.999514	1.00048	1.0019	8.694654
630	-7373.362	-7335.935	-37.42716	720699.9	16.97501	0.998503	0.999617	1.00038	1.0015	9.026602
640	-7377.948	-7336.537	-41.41128	740089.3	18.20942	0.998523	0.999622	1.00038	1.00148	9.240579
650	-7374.449	-7339.942	-34.50757	502469.6	18.09108	0.998207	0.999541	1.00046	1.00179	8.862699
660	-7376.118	-7346.583	-29.53555	667279.9	18.28762	0.998444	0.999602	1.0004	1.00156	8.58855
670	-7370.372	-7336.927	-33.44544	665923.9	18.39137	0.998443	0.999602	1.0004	1.00156	8.801089
680	-7388.267	-7352.866	-35.40135	816317.6	19.59552	0.998593	0.99964	1.00036	1.00141	8.868849
690	-7397.515	-7365.456	-32.05942	342091.7	19.0899	0.997828	0.999444	1.00055	1.00217	8.713513
700	-7374.365	-7351.936	-22.42872	28095.24	18.57301	0.992427	0.998053	1.00193	1.00759	8.205096
710	-7395.301	-7371.547	-23.75472	262161.6	21.34298	0.997519	0.999365	1.00063	1.00248	8.225023
720	-7370.132	-7344.824	-25.30833	800802.7	18.0609	0.99858	0.999637	1.00036	1.00142	8.353614
730	-7381.322	-7346.08	-35.24192	727872	18.56346	0.998511	0.999619	1.00038	1.00149	8.895197
740	-7402.926	-7366.583	-36.34365	248696.5	16.1909	0.997452	0.999348	1.00065	1.00255	8.936243
750	-7375.515	-7336.206	-39.30872	118126.8	17.48035	0.996304	0.999053	1.00094	1.0037	9.137695
760	-7396.845	-7357.475	-39.37013	668835.8	16.32652	0.998446	0.999603	1.0004	1.00155	9.12798
770	-7396.281	-7358.97	-37.31084	351968.4	17.96659	0.997858	0.999452	1.00055	1.00214	9.019645
780	-7351.809	-7329.58	-22.22844	516122.3	21.42033	0.998231	0.999548	1.00045	1.00177	8.150537
790	-7380.354	-7342.791	-37.56254	721062.9	19.28114	0.998503	0.999617	1.00038	1.0015	8.993753
