Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
499	1	-7284.922	-7224.375	-60.54703	2.269093	14.88399	0.323411	0.680884	1.07547	1.92024	10.45421
500	0	-7322.452	-7258.402	-64.04964	2.238599	13.03207	0.320184	0.678203	1.07496	1.92666	10.59546
501	1	-7277.569	-7225.985	-51.58386	1.901262	15.97125	0.281196	0.644086	1.06731	2.00741	9.878427
502	0	-7293.041	-7231.291	-61.7502	1.945178	15.03669	0.286642	0.649054	1.06856	1.99575	10.53532
503	1	-7287.291	-7229.434	-57.85699	2.040043	17.49232	0.298008	0.659205	1.07096	1.97183	10.19797
504	0	-7304.199	-7233.303	-70.8963	2.066621	15.91511	0.3011	0.661916	1.07157	1.96541	11.09182
505	1	-7285.232	-7228.918	-56.31474	1.855717	16.14734	0.275421	0.638738	1.06592	2.01992	10.17083
506	0	-7303.326	-7236.036	-67.28944	1.968634	14.09848	0.289502	0.651636	1.06918	1.98968	10.90689
507	1	-7280.569	-7230.28	-50.28962	1.916416	16.41951	0.283089	0.645821	1.06775	2.00334	9.795872
508	0	-7302.333	-7233.125	-69.20807	2.005392	15.46474	0.293917	0.655586	1.07012	1.98037	11.01265
509	1	-7293.021	-7236.223	-56.798	1.963083	15.83161	0.288828	0.65103	1.06904	1.9911	10.20737
510	0	-7324.203	-7260.968	-63.23507	1.852831	15.26021	0.275051	0.638392	1.06583	2.02073	10.63105
511	1	-7285.475	-7232.033	-53.44152	2.217711	16.6202	0.317948	0.676333	1.07459	1.93113	9.982498
512	0	-7295.589	-7226.555	-69.03372	1.902312	14.46969	0.281328	0.644207	1.06734	2.00712	11.03167
513	1	-7310.371	-7236.05	-74.32178	2.079629	14.32036	0.302598	0.663223	1.07186	1.96232	11.40143
514	0	-7299.41	-7228.667	-70.74291	2.12096	12.76041	0.307298	0.667289	1.07274	1.95267	11.08403
515	1	-7285.972	-7227.547	-58.42586	2.15458	16.16184	0.311054	0.670505	1.07342	1.94502	10.30109
516	0	-7291.729	-7223.88	-67.84952	2.018531	13.59715	0.295477	0.65697	1.07045	1.97711	10.92888
517	1	-7298.385	-7243.779	-54.60593	2.454891	16.54904	0.342138	0.696048	1.0781	1.88372	10.0549
518	0	-7282.191	-7218.271	-63.91989	1.980283	15.4917	0.29091	0.6529	1.06949	1.9867	10.66988
519	1	-7296.631	-7241.573	-55.05826	1.864734	13.6828	0.276575	0.639813	1.0662	2.01741	9.998258
520	0	-7271.591	-7215.907	-55.68365	1.956063	16.40507	0.287973	0.650259	1.06885	1.99292	10.12484
521	1	-7288.929	-7232.395	-56.53443	2.614188	15.6584	0.357022	0.70765	1.07981	1.85551	10.19255
522	0	-7269.661	-7220.64	-49.02058	2.105488	15.866	0.30555	0.665782	1.07242	1.95625	9.716634
523	1	-7306.282	-7238.623	-67.65894	2.005208	15.10946	0.293896	0.655566	1.07012	1.98042	10.92612
524	0	-7291.067	-7227.442	-63.6248	2.232317	16.81262	0.319514	0.677643	1.07485	1.928	10.58188
525	1	-7313.369	-7254.7	-58.66868	2.274459	14.86841	0.323974	0.681349	1.07555	1.91912	10.3277
526	0	-7288.07	-7233.356	-54.71422	1.959079	13.8137	0.288341	0.65059	1.06893	1.99214	9.987685
527	1	-7300.957	-7240.044	-60.9133	1.858951	13.56833	0.275836	0.639125	1.06602	2.01902	10.41613
528	0	-7306.66	-7236.071	-70.5893	2.175137	16.2337	0.313321	0.672432	1.07381	1.94043	11.04788
529	1	-7303.684	-7248.071	-55.61238	2.041942	14.6467	0.298231	0.659401	1.071	1.97136	10.11325
530	0	-7297.104	-7238.37	-58.73392	2.221884	15.46284	0.318396	0.676709	1.07467	1.93023	10.33537
531	1	-7287.473	-7228.205	-59.26738	2.210926	12.85796	0.317217	0.675719	1.07447	1.93259	10.2013
532	0	-7274.892	-7224.063	-50.82927	1.992357	15.12195	0.292361	0.654199	1.0698	1.98364	9.812795
533	1	-7276.902	-7219.614	-57.28832	1.883467	14.3499	0.278956	0.642021	1.06678	2.01224	10.21366
534	0	-7294.705	-7227.027	-67.67778	2.164825	12.71598	0.312187	0.671469	1.07362	1.94273	10.83825
535	1	-7289.368	-7233.012	-56.35586	2.073411	16.16112	0.301883	0.6626	1.07172	1.96379	10.17303
536	0	-7296.835	-7233.106	-63.72823	2.045016	15.16904	0.29859	0.659717	1.07108	1.97062	10.66506
537	1	-7310.873	-7241.419	-69.45367	2.200839	13.33648	0.316125	0.674802	1.07429	1.93478	11.033
538	0	-7283.433	-7220	-63.43254	1.952733	13.57035	0.287566	0.649891	1.06876	1.99378	10.60196
539	1	-7300.677	-7241.396	-59.28101	2.210019	17.36336	0.317119	0.675637	1.07445	1.93279	10.2886
540	0	-7319.648	-7250.44	-69.20796	2.542752	12.16187	0.350473	0.702593	1.0791	1.86784	10.87717
541	1	-7291.555	-7222.496	-69.05874	1.824814	14.74862	0.271426	0.634991	1.06492	2.02867	11.02938
542	0	-7297.752	-7236.857	-60.8956	2.18987	13.57241	0.314933	0.673796	1.07409	1.93718	10.4152
543	1	-7313.406	-7244.481	-68.92585	1.888696	14.2665	0.279616	0.642631	1.06694	2.01082	11.02448
544	0	-7294.522	-7232.003	-62.5196	2.304864	14.23796	0.327139	0.683955	1.07603	1.91287	10.57439
545	1	-7283.133	-7223.673	-59.45958	2.182899	15.80255	0.314172	0.673153	1.07396	1.93872	10.37621
546	0	-7294.556	-7230.633	-63.92239	2.211141	16.29831	0.31724	0.675739	1.07447	1.93255	10.63347
547	1	-7280.61	-7226.618	-53.99231	2.364139	18.69492	0.333185	0.688881	1.07691	1.90103	9.89498
548	0	-7281.97	-7221.293	-60.67662	2.30652	13.26286	0.32731	0.684096	1.07606	1.91253	10.36638
549	1	-7283.665	-7224.382	-59.28253	2.300534	15.89756	0.326691	0.683588	1.07597	1.91375	10.36258
550	0	-7287.756	-7227.571	-60.18588	2.304149	17.11194	0.327065	0.683895	1.07602	1.91302	10.35835
551	1	-7270.864	-7224.494	-46.37001	2.405832	14.09115	0.337343	0.692228	1.07747	1.89295	9.422143
552	0	-7293.38	-7238.872	-54.5079	2.242793	14.09426	0.320631	0.678575	1.07503	1.92577	9.999931
553	1	-7274.537	-7219.859	-54.67832	2.211607	18.88518	0.31729	0.675781	1.07448	1.93245	9.915926
554	0	-7287.05	-7229.612	-57.43824	1.943785	15.59302	0.286471	0.6489	1.06852	1.99611	10.25088
555	1	-7289.797	-7228.696	-61.10164	2.39353	14.23832	0.336124	0.69125	1.07731	1.89531	10.47482
556	0	-7274.396	-7226.705	-47.69149	2.034527	16.26363	0.297362	0.658636	1.07083	1.97317	9.637498
557	1	-7309.282	-7243.606	-65.6767	1.959921	14.33581	0.288443	0.650683	1.06895	1.99192	10.79799
558	0	-7283.497	-7218.891	-64.60633	2.082579	14.50248	0.302937	0.663517	1.07193	1.96162	10.72612
559	1	-7295.052	-7226.233	-68.81892	1.893971	13.84133	0.280281	0.643243	1.06709	2.00938	11.00962
560	0	-7291.814	-7226.164	-65.6499	1.865536	15.28594	0.276677	0.639908	1.06623	2.01718	10.78854
561	1	-7289.862	-7228.247	-61.61546	2.267316	13.76556	0.323224	0.680729	1.07544	1.92061	10.48382
562	0	-7292.12	-7236.487	-55.63265	2.109981	16.67787	0.306059	0.666221	1.07251	1.95521	10.11211
563	1	-7282.34	-7228.564	-53.77554	2.236656	16.5392	0.319977	0.67803	1.07492	1.92707	10.005
564	0	-7290.224	-7238.529	-51.69498	2.091235	16.47561	0.303927	0.664377	1.07211	1.95958	9.880467
565	1	-7277.411	-7229.149	-48.26118	2.288348	15.92064	0.325425	0.682547	1.07578	1.91625	9.669667
566	0	-7295.218	-7230.587	-64.63132	1.993712	15.12438	0.292523	0.654343	1.06983	1.9833	10.72547
567	1	-7331.095	-7250.707	-80.38817	1.941941	13.74493	0.286244	0.648694	1.06847	1.99659	11.84808
568	0	-7283.628	-7224.131	-59.49738	2.030284	15.08551	0.296863	0.658196	1.07073	1.97421	10.38583
569	1	-7297.34	-7244.179	-53.16125	2.065715	15.54945	0.300995	0.661825	1.07155	1.96563	9.976136
570	0	-7300.242	-7231.476	-68.76646	2.167632	14.30871	0.312496	0.671732	1.07367	1.9421	11.01347
571	1	-7288.026	-7232.71	-55.31522	2.48597	13.02455	0.345122	0.698406	1.07847	1.87801	9.923944
572	0	-7275.901	-7220.633	-55.26742	2.480745	16.81941	0.344623	0.698013	1.07841	1.87896	10.08451
573	1	-7283.753	-7235.761	-47.99171	2.110269	15.7808	0.306092	0.66625	1.07252	1.95514	9.650042
574	0	-7281.123	-7218.982	-62.14079	1.948273	13.18988	0.287021	0.649398	1.06864	1.99494	10.4685
575	1	-7293.077	-7233.119	-59.95789	1.915191	14.43282	0.282936	0.645681	1.06771	2.00367	10.40307
576	0	-7304.169	-7240.289	-63.87961	2.076625	14.81018	0.302253	0.662922	1.07179	1.96303	10.67828
577	1	-7300.755	-7234.462	-66.29292	2.197217	13.32561	0.315732	0.67447	1.07422	1.93557	10.79512
578	0	-7291.727	-7222.883	-68.84418	2.118161	14.05705	0.306983	0.667018	1.07268	1.95332	11.01652
579	1	-7295.489	-7234.53	-60.95922	1.628299	16.51608	0.244479	0.608606	1.05714	2.08977	10.4406
580	0	-7307.61	-7237.778	-69.83127	1.855498	15.36298	0.275393	0.638712	1.06591	2.01998	11.05829
581	1	-7296.35	-7229.195	-67.1552	1.943357	14.34542	0.286418	0.648852	1.06851	1.99622	10.90121
582	0	-7295.502	-7227.674	-67.82833	2.009135	14.55538	0.294363	0.655982	1.07022	1.97944	10.94804
583	1	-7303.794	-7228.516	-75.27773	1.994727	11.48431	0.292644	0.654452	1.06986	1.98305	11.25561
584	0	-7287.368	-7228.664	-58.70359	2.152645	15.54318	0.31084	0.670322	1.07338	1.94546	10.33264
585	1	-7291.263	-7226.907	-64.35626	2.477296	15.1189	0.344293	0.697753	1.07837	1.87959	10.70737
586	0	-7276.381	-7220.501	-55.87999	2.357312	14.67049	0.332497	0.688323	1.07681	1.90237	10.13257
587	1	-7287.916	-7228.97	-58.94598	2.015748	15.10199	0.295147	0.656678	1.07038	1.9778	10.34941
588	0	-7278.883	-7214.232	-64.65074	2.107319	15.71263	0.305757	0.665961	1.07246	1.95582	10.70865
589	1	-7273.955	-7229.291	-44.66389	2.638447	21.03507	0.359202	0.709317	1.08004	1.85144	9.231138
590	0	-7291.304	-7225.025	-66.27905	1.98845	15.17259	0.291892	0.65378	1.0697	1.98463	10.83312
591	1	-7290.512	-7233.764	-56.7484	2.441018	17.99556	0.340792	0.694981	1.07793	1.8863	10.09935
592	0	-7300.031	-7240.252	-59.77928	2.163892	15.43875	0.312084	0.671382	1.0736	1.94294	10.40326
593	1	-7266.306	-7221.407	-44.89844	2.265635	17.22361	0.323048	0.680583	1.07541	1.92096	9.463113
594	0	-7321.913	-7255.631	-66.282	2.412699	13.93601	0.33802	0.69277	1.07756	1.89164	10.83018
595	1	-7271.249	-7229.888	-41.36024	2.292221	17.64045	0.325829	0.682878	1.07584	1.91546	9.252455
596	0	-7285.355	-7232.861	-52.49385	2.491621	14.41401	0.345661	0.698829	1.07853	1.87698	9.884505
597	1	-7274.196	-7225.556	-48.6402	2.571818	16.71703	0.353161	0.704678	1.0794	1.86276	9.692254
598	0	-7281.602	-7221.464	-60.1384	1.989078	15.97155	0.291967	0.653847	1.06971	1.98447	10.41404
599	1	-7280.57	-7225.914	-54.65599	2.207337	15.31498	0.316829	0.675394	1.07441	1.93337	10.0698
600	0	-7285.154	-7218.685	-66.46892	1.853393	15.45266	0.275123	0.63846	1.06585	2.02057	10.83601
601	1	-7306.841	-7233.971	-72.87059	2.137703	12.46061	0.309176	0.668901	1.07308	1.94884	11.21908
602	0	-7283.921	-7230.656	-53.26474	2.516292	16.6037	0.347996	0.700661	1.07881	1.87253	9.972339
603	1	-7275.577	-7215.864	-59.71311	1.922548	15.26162	0.28385	0.646516	1.06792	2.00171	10.40025
604	0	-7298.193	-7222.794	-75.39989	2.253257	13.37022	0.321741	0.679499	1.0752	1.92356	11.47981
605	1	-7274.754	-7222.2	-52.55352	2.129292	14.12274	0.308235	0.668094	1.07291	1.95076	9.863989
606	0	-7309.87	-7245.274	-64.59654	1.808743	14.47153	0.269324	0.633002	1.06437	2.0333	10.72504
607	1	-7275.512	-7220.059	-55.45316	2.53469	15.5553	0.349721	0.702007	1.07901	1.86926	10.12354
608	0	-7299.948	-7241.078	-58.87001	2.128293	13.80112	0.308123	0.667998	1.07289	1.95099	10.28746
609	1	-7276.673	-7219.877	-56.79602	2.134658	14.85436	0.308836	0.668609	1.07302	1.94953	10.20134
610	0	-7288.88	-7233.638	-55.24265	1.916746	15.86073	0.28313	0.645858	1.06776	2.00325	10.10885
611	1	-7295.669	-7232.715	-62.95454	2.270742	18.3362	0.323584	0.681027	1.07549	1.9199	10.41113
612	0	-7303.614	-7248.949	-54.66487	2.004583	14.62132	0.293821	0.6555	1.0701	1.98057	10.04725
613	1	-7294.559	-7236.827	-57.73195	1.931037	17.13786	0.284901	0.647474	1.06816	1.99946	10.21341
614	0	-7309.73	-7248.833	-60.89722	1.712878	14.86773	0.256415	0.620539	1.06081	2.06223	10.47758
615	1	-7303.143	-7235.848	-67.29497	2.014531	14.33238	0.295003	0.65655	1.07035	1.9781	10.91085
616	0	-7297.309	-7241.737	-55.5718	1.966261	14.31512	0.289214	0.651377	1.06912	1.99029	10.09176
617	1	-7301.599	-7235.712	-65.88722	2.177393	13.42381	0.313569	0.672642	1.07385	1.93993	10.77252
618	0	-7263.248	-7228.815	-34.43345	2.172518	17.16039	0.313034	0.672189	1.07376	1.94102	8.854378
619	1	-7312.116	-7244.177	-67.93854	2.067017	15.78823	0.301145	0.661956	1.07158	1.96532	10.91361
620	0	-7275.239	-7227.061	-48.1775	2.077768	15.62759	0.302384	0.663036	1.07182	1.96276	9.657989
621	1	-7280.31	-7222.113	-58.19688	2.03378	19.40053	0.297274	0.658558	1.07081	1.97336	10.052
622	0	-7283.911	-7229.07	-54.84089	2.209474	15.58491	0.31706	0.675588	1.07444	1.93291	10.08429
623	1	-7300.507	-7233.637	-66.86989	2.199734	18.90448	0.316005	0.674701	1.07427	1.93503	10.5592
624	0	-7278.001	-7222.947	-55.05446	2.336362	16.32582	0.330372	0.686598	1.07651	1.90652	10.08866
625	1	-7291.904	-7233.741	-58.16293	2.044541	16.08079	0.298534	0.659668	1.07107	1.97073	10.28733
626	0	-7285.978	-7232.521	-53.45663	2.333092	15.51822	0.330039	0.686326	1.07646	1.90718	9.994792
627	1	-7299.035	-7241.978	-57.05714	2.394186	17.08204	0.336189	0.691302	1.07732	1.89519	10.17719
628	0	-7281.088	-7232.673	-48.41452	2.212221	16.39807	0.317356	0.675837	1.07449	1.93231	9.681765
629	1	-7317.314	-7260.188	-57.12605	2.270809	15.46436	0.323591	0.681033	1.07549	1.91988	10.23138
630	0	-7324.746	-7250.862	-73.88431	2.359278	13.90299	0.332696	0.688484	1.07684	1.90198	11.37571
631	1	-7300.321	-7236.44	-63.88083	2.173594	14.42083	0.313152	0.672289	1.07378	1.94078	10.67464
632	0	-7272	-7211.823	-60.17693	2.35356	16.31607	0.332118	0.688016	1.07676	1.90311	10.40287
633	1	-7303.544	-7244.036	-59.50785	2.790057	16.68201	0.372339	0.719199	1.08126	1.8272	10.34424
634	0	-7281.496	-7219.036	-62.46073	2.267059	15.08124	0.323197	0.680707	1.07543	1.92066	10.5823
635	1	-7301.484	-7238.271	-63.21381	2.398645	12.88801	0.336632	0.691657	1.07738	1.89433	10.51241
636	0	-7283.93	-7222.876	-61.05469	2.164715	14.56131	0.312175	0.671459	1.07361	1.94275	10.48283
637	1	-7298.479	-7240.228	-58.25173	2.226645	14.06993	0.318907	0.677136	1.07475	1.92921	10.26389
638	0	-7301.741	-7236.871	-64.86975	2.310621	14.76839	0.327734	0.684443	1.07612	1.9117	10.7453
639	1	-7273.949	-7225.03	-48.91955	2.138146	15.88715	0.309226	0.668943	1.07309	1.94874	9.710573
640	0	-7304.438	-7245.513	-58.92458	2.247715	14.64642	0.321154	0.67901	1.07511	1.92473	10.33938
641	1	-7300.316	-7230.906	-69.4108	2.151956	12.62489	0.310763	0.670257	1.07337	1.94561	10.96348
642	0	-7290.731	-7232.419	-58.31175	2.427129	15.22363	0.339437	0.693902	1.07775	1.88891	10.3083
643	1	-7293.879	-7236.543	-57.3367	2.051572	15.42009	0.299354	0.660388	1.07123	1.96903	10.24506
644	0	-7308.601	-7243.864	-64.73766	1.67609	12.56873	0.251288	0.615464	1.05928	2.07396	10.58445
645	1	-7303.926	-7238.93	-64.99622	2.162537	16.56771	0.311934	0.671255	1.07357	1.94324	10.68144
646	0	-7289.456	-7225.036	-64.41953	2.341342	17.15077	0.330879	0.68701	1.07658	1.90553	10.60257
647	1	-7286.541	-7223.091	-63.45067	2.163791	15.21322	0.312073	0.671372	1.0736	1.94296	10.64604
648	0	-7311.654	-7235.977	-75.67715	2.248174	15.05615	0.321203	0.679051	1.07512	1.92463	11.46027
649	1	-7307.397	-7239.63	-67.76619	2.161855	14.29584	0.311859	0.671191	1.07356	1.94339	10.94346
650	0	-7291.638	-7234.135	-57.50332	2.167536	15.35321	0.312485	0.671723	1.07367	1.94212	10.25583
651	1	-7312.03	-7243.716	-68.31412	2.017316	13.56473	0.295333	0.656842	1.07042	1.97741	10.96139
652	0	-7288.886	-7230.455	-58.43119	2.429175	15.13599	0.339637	0.694061	1.07778	1.88852	10.31562
653	1	-7315.767	-7243.555	-72.21204	2.1296	13.59298	0.308269	0.668124	1.07292	1.95069	11.2496
654	0	-7290.031	-7232.205	-57.82607	2.219272	15.00762	0.318116	0.676474	1.07462	1.93079	10.27387
655	1	-7325.581	-7247.642	-77.93936	1.986243	13.08868	0.291627	0.653543	1.06964	1.98519	11.66329
656	0	-7287.612	-7228.336	-59.27641	2.175033	13.47564	0.31331	0.672423	1.07381	1.94046	10.28579
657	1	-7297.003	-7231.637	-65.36619	1.993302	13.22124	0.292474	0.6543	1.06982	1.98341	10.71607
658	0	-7303.095	-7232.596	-70.49878	2.088137	15.49983	0.303573	0.66407	1.07205	1.96031	11.09408
659	1	-7297.488	-7231.851	-65.63712	2.24515	14.86078	0.320881	0.678784	1.07507	1.92527	10.79646
660	0	-7324.027	-7250.04	-73.98689	1.841375	14.10317	0.273575	0.637011	1.06546	2.02395	11.38188
661	1	-7294.609	-7233.813	-60.79562	2.059959	14.29766	0.300329	0.661242	1.07142	1.96701	10.45594
662	0	-7309.334	-7250.875	-58.45869	2.396151	14.34012	0.336384	0.691459	1.07735	1.89481	10.29472
663	1	-7293.158	-7230.562	-62.59617	2.131132	14.32155	0.308441	0.668271	1.07295	1.95034	10.58266
664	0	-7300.297	-7251.046	-49.25017	1.883196	16.87404	0.278921	0.641989	1.06677	2.01232	9.725552
665	1	-7301.211	-7237.305	-63.90613	1.979263	16.00303	0.290787	0.65279	1.06946	1.98696	10.64841
666	0	-7300.641	-7237.115	-63.52566	2.380367	15.65702	0.334813	0.690195	1.07713	1.89786	10.63908
667	1	-7298.84	-7231.684	-67.15584	1.809848	13.9935	0.269469	0.63314	1.06441	2.03298	10.89467
668	0	-7296.87	-7239.376	-57.49405	2.389933	15.97255	0.335767	0.690962	1.07726	1.89601	10.24845
669	1	-7306.531	-7245.18	-61.35068	1.802488	15.56909	0.268501	0.632221	1.06416	2.03512	10.50236
670	0	-7288.135	-7219.722	-68.41213	1.93141	15.19215	0.284947	0.647516	1.06817	1.99936	10.97298
671	1	-7316.716	-7242.713	-74.00274	2.029948	12.91639	0.296824	0.658161	1.07072	1.97429	11.35158
672	0	-7288.104	-7225.717	-62.38735	2.051625	14.27894	0.29936	0.660393	1.07123	1.96902	10.56662
673	1	-7300.208	-7242.311	-57.8967	1.962051	15.39483	0.288702	0.650917	1.06901	1.99137	10.28143
674	0	-7307.333	-7243.14	-64.19277	2.387741	15.8538	0.335548	0.690787	1.07723	1.89643	10.67346
675	1	-7293.044	-7230.501	-62.54299	2.183322	15.0835	0.314218	0.673192	1.07397	1.93862	10.58774
676	0	-7311.007	-7247.802	-63.2044	2.397248	16.13452	0.336493	0.691546	1.07736	1.8946	10.59816
677	1	-7273.506	-7230.325	-43.18014	2.074536	15.5454	0.302013	0.662713	1.07175	1.96353	9.334027
678	0	-7288.783	-7235.763	-53.0201	2.156407	15.87823	0.311257	0.670678	1.07345	1.94461	9.968695
679	1	-7295.616	-7238.529	-57.08691	2.170076	15.93406	0.312765	0.671961	1.07372	1.94156	10.22376
680	0	-7285.023	-7226.928	-58.09527	1.83054	14.97353	0.272171	0.635692	1.06511	2.02703	10.29125
681	1	-7308.705	-7243.996	-64.70931	2.418513	14.07746	0.338592	0.693227	1.07764	1.89054	10.72313
682	0	-7301.852	-7234.715	-67.13698	2.086173	13.53306	0.303349	0.663875	1.072	1.96077	10.87272
683	1	-7292.146	-7238.479	-53.66633	1.956319	16.61746	0.288004	0.650287	1.06886	1.99285	9.996108
684	0	-7278.029	-7221.002	-57.02763	2.689592	16.6991	0.363725	0.712751	1.08049	1.84304	10.1948
685	1	-7303.558	-7242.4	-61.15787	2.352137	18.223	0.331974	0.687899	1.07674	1.90339	10.32374
686	0	-7306.877	-7232.905	-73.97241	2.232992	13.64037	0.319586	0.677704	1.07486	1.92785	11.37995
687	1	-7308.93	-7248.819	-60.11131	2.17583	14.31577	0.313397	0.672497	1.07383	1.94028	10.4089
688	0	-7298.854	-7235.51	-63.3437	2.192056	15.62056	0.315171	0.673997	1.07413	1.9367	10.6287
689	1	-7303.836	-7242.571	-61.2644	2.160097	15.11365	0.311665	0.671025	1.07352	1.94379	10.50289
690	0	-7288.075	-7234.668	-53.40683	2.358383	16.97276	0.332605	0.688411	1.07683	1.90216	9.968057
691	1	-7293.295	-7237.352	-55.94292	2.097367	17.19706	0.304627	0.664984	1.07225	1.95814	10.10582
692	0	-7294.374	-7225.426	-68.94805	1.863899	15.3967	0.276469	0.639714	1.06618	2.01764	10.9992
693	1	-7308.302	-7248.983	-59.31911	2.116377	16.86693	0.306782	0.666845	1.07265	1.95373	10.32268
694	0	-7313.701	-7237.02	-76.6811	1.915076	17.06173	0.282922	0.645668	1.06771	2.0037	11.32849
695	1	-7284.976	-7225.412	-59.56413	2.1371	15.39685	0.309109	0.668843	1.07307	1.94898	10.38972
696	0	-7303.273	-7244.245	-59.02864	2.082712	15.67187	0.302952	0.66353	1.07193	1.96159	10.3516
697	1	-7274.143	-7224.61	-49.53387	2.140553	15.83485	0.309494	0.669173	1.07314	1.94819	9.748575
698	0	-7317.137	-7251.76	-65.37707	2.207939	16.59636	0.316894	0.675448	1.07442	1.93324	10.70237
699	1	-7283.843	-7223.246	-60.59716	1.984858	13.82921	0.29146	0.653394	1.06961	1.98554	10.41472
700	0	-7292.405	-7235.731	-56.67452	2.037484	14.42749	0.297709	0.658941	1.0709	1.97245	10.17529
701	1	-7277.128	-7231.526	-45.60214	2.281708	16.45846	0.324733	0.681976	1.07567	1.91762	9.510587
702	0	-7282.704	-7221.888	-60.81563	1.79413	14.1261	0.267397	0.63117	1.06387	2.03757	10.44919
703	1	-7283.533	-7228.146	-55.38703	1.776608	17.00056	0.265067	0.628942	1.06324	2.04275	10.08341
704	0	-7277.193	-7215.96	-61.23271	1.885952	15.27376	0.27927	0.642311	1.06685	2.01156	10.4997
705	1	-7297.996	-7237.81	-60.18565	2.03392	13.44582	0.29729	0.658573	1.07082	1.97332	10.35014
706	0	-7286.843	-7223.911	-62.93194	2.192964	14.00263	0.31527	0.67408	1.07414	1.9365	10.59329
707	1	-7296.139	-7227.766	-68.37227	1.882538	12.63777	0.278838	0.641912	1.06675	2.0125	10.88292
708	0	-7293.415	-7225.725	-67.68992	1.923804	14.37992	0.284006	0.646659	1.06796	2.00137	10.93866
709	1	-7281.87	-7231.518	-50.3519	2.246646	14.3991	0.32104	0.678916	1.07509	1.92495	9.734619
710	0	-7266.382	-7214.494	-51.88749	2.070831	17.69573	0.301586	0.66234	1.07167	1.96441	9.846297
711	1	-7273.207	-7212.475	-60.73184	2.148319	15.86801	0.310359	0.669912	1.07329	1.94643	10.4547
712	0	-7276.742	-7213.733	-63.00873	2.05401	13.02816	0.299638	0.660637	1.07128	1.96844	10.51509
713	1	-7282.983	-7218.888	-64.09543	1.993016	15.68847	0.29244	0.654269	1.06981	1.98348	10.67426
714	0	-7295.926	-7237.244	-58.68277	2.13524	15.54453	0.308901	0.668665	1.07303	1.9494	10.33129
715	1	-7304.624	-7237.045	-67.57932	1.951862	14.30834	0.28746	0.649795	1.06874	1.99401	10.9305
716	0	-7300.829	-7234.647	-66.18212	2.015509	13.68147	0.295119	0.656653	1.07037	1.97786	10.81117
717	1	-7315.972	-7246.649	-69.32264	2.171691	14.49555	0.312943	0.672111	1.07375	1.9412	11.05139
718	0	-7303.385	-7241.057	-62.32778	2.055596	15.88795	0.299822	0.660798	1.07132	1.96806	10.55451
719	1	-7281.162	-7221.446	-59.71551	1.725123	15.30315	0.2581	0.622191	1.0613	2.05841	10.40023
720	0	-7293.392	-7227.733	-65.65923	2.068354	15.00145	0.3013	0.662091	1.07161	1.965	10.79593
721	1	-7299.65	-7239.469	-60.18098	2.040543	14.31907	0.298067	0.659257	1.07097	1.9717	10.41391
722	0	-7320.947	-7248.722	-72.22443	1.826157	13.07147	0.271601	0.635155	1.06496	2.02828	11.22549
723	1	-7303.535	-7222.775	-80.75986	1.938455	12.01739	0.285816	0.648305	1.06837	1.99751	11.81151
724	0	-7274.429	-7229.157	-45.27136	2.175138	16.51288	0.313321	0.672433	1.07381	1.94043	9.490739
725	1	-7267.776	-7207.857	-59.91927	2.365923	16.43556	0.333365	0.689026	1.07693	1.90068	10.38159
726	0	-7295.108	-7234.337	-60.77101	2.012683	18.32461	0.294784	0.656356	1.0703	1.97856	10.29313
727	1	-7275.246	-7217.807	-57.43966	2.134384	13.46225	0.308805	0.668583	1.07302	1.9496	10.14789
728	0	-7281.224	-7226.78	-54.44437	1.953454	16.46843	0.287654	0.649971	1.06878	1.99359	10.04755
729	1	-7265.159	-7207.384	-57.7743	2.067637	16.26308	0.301217	0.662019	1.07159	1.96517	10.25748
730	0	-7280.322	-7226.911	-53.41133	2.187461	15.12031	0.31467	0.673574	1.07404	1.93771	9.983494
731	1	-7281.627	-7231.435	-50.19204	2.322099	16.20761	0.328914	0.685408	1.0763	1.90938	9.791508
732	0	-7286.804	-7229.647	-57.15678	2.187555	15.40375	0.31468	0.673583	1.07404	1.93769	10.23338
733	1	-7301.904	-7238.731	-63.17261	2.232112	17.54891	0.319492	0.677625	1.07484	1.92804	10.49698
734	0	-7289.504	-7237.954	-51.54922	2.525574	15.86678	0.348868	0.701342	1.07891	1.87088	9.876012
735	1	-7279.275	-7217.207	-62.06855	2.344842	15.3115	0.331235	0.687299	1.07663	1.90483	10.55387
736	0	-7278.039	-7228.042	-49.99686	2.062714	18.0485	0.300648	0.661521	1.07148	1.96635	9.721264
737	1	-7284.961	-7221.393	-63.56789	1.89046	15.29966	0.279839	0.642836	1.06699	2.01034	10.65205
738	0	-7298.311	-7243.997	-54.31313	2.234246	15.26037	0.31972	0.677816	1.07488	1.92758	10.0464
739	1	-7285.556	-7222.87	-62.68531	2.19471	15.98817	0.31546	0.674241	1.07418	1.93612	10.57278
740	0	-7295.525	-7241.914	-53.61093	2.443469	16.9256	0.341031	0.69517	1.07796	1.88584	9.981979
741	1	-7281.869	-7235.125	-46.74377	2.376386	15.12081	0.334415	0.689874	1.07708	1.89863	9.542557
742	0	-7294.473	-7233.792	-60.68031	2.368284	15.38221	0.333602	0.689218	1.07697	1.90022	10.46241
