Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-13090.96	-12664.62	-426.341	853420.4	1.630109	0.998624	0.999648	1.00035	1.00138	103.0429
10	-10741.03	-10409.11	-331.9159	277831.3	2.098779	0.99759	0.999383	1.00061	1.00241	54.38327
20	-9361.623	-9127.712	-233.9109	147463.1	3.655642	0.996692	0.999153	1.00084	1.00331	28.76744
30	-8518.122	-8373.461	-144.6608	114100.1	8.193342	0.996239	0.999036	1.00096	1.00377	17.69009
40	-8010.052	-7910.152	-99.90032	344774	12.61948	0.997836	0.999446	1.00055	1.00217	13.37887
50	-7720.821	-7653.744	-67.07695	940031.8	15.78095	0.998689	0.999665	1.00033	1.00131	10.85943
60	-7568.715	-7505.415	-63.29943	913068.6	16.14506	0.99867	0.99966	1.00034	1.00133	10.60351
70	-7481.889	-7433.93	-47.9588	758083.4	13.58153	0.99854	0.999627	1.00037	1.00146	9.463508
80	-7442.694	-7394.359	-48.33492	935347	15.62489	0.998686	0.999664	1.00034	1.00131	9.667987
90	-7422.605	-7379.283	-43.32164	442887.5	18.23495	0.998091	0.999512	1.00049	1.00191	9.344495
100	-7442.783	-7401.442	-41.34055	174431.3	17.69948	0.996958	0.999221	1.00078	1.00305	9.250205
110	-7430.824	-7389.535	-41.28818	221419.5	18.10691	0.9973	0.999309	1.00069	1.0027	9.23703
120	-7423.167	-7376.825	-46.34202	142300.7	16.72827	0.996632	0.999137	1.00086	1.00337	9.554693
130	-7421.52	-7381.716	-39.80417	46794.84	15.85052	0.99413	0.998493	1.00149	1.00588	9.134945
140	-7430.239	-7387.1	-43.13953	34440.11	16.22592	0.993159	0.998242	1.00174	1.00686	9.356791
150	-7408.459	-7370.225	-38.23313	34776.95	19.82156	0.993192	0.998251	1.00173	1.00682	9.001452
160	-7409.557	-7374.849	-34.70741	15229.61	18.50068	0.989719	0.99735	1.00261	1.01032	8.867689
170	-7397.431	-7363.15	-34.28077	3648.225	18.87477	0.979034	0.994547	1.0053	1.02112	8.836125
180	-7428.209	-7385.093	-43.11597	24859.3	19.04274	0.99195	0.997929	1.00205	1.00807	9.295293
190	-7424.047	-7383.799	-40.24724	32164.97	22.9558	0.992921	0.998181	1.0018	1.0071	8.862464
200	-7416.061	-7372.824	-43.23717	35494.99	17.95549	0.993261	0.998269	1.00172	1.00675	9.34986
210	-7415.026	-7377.891	-37.13511	354181.2	18.98021	0.997865	0.999454	1.00054	1.00214	8.983565
220	-7405.325	-7376.163	-29.16162	955323.2	21.25737	0.9987	0.999668	1.00033	1.0013	8.482866
230	-7399.992	-7362.575	-37.41693	521435	19.29718	0.99824	0.99955	1.00045	1.00176	8.985504
240	-7413.933	-7382.997	-30.93552	716916.3	17.3318	0.998499	0.999616	1.00038	1.0015	8.655337
250	-7393.097	-7364.948	-28.14805	408061.4	17.22387	0.998011	0.999491	1.00051	1.00199	8.490599
260	-7396.474	-7355.901	-40.57264	882212.6	21.13064	0.998647	0.999654	1.00035	1.00135	9.029404
270	-7379.58	-7351.512	-28.06818	647055.6	16.21003	0.99842	0.999596	1.0004	1.00158	8.426674
280	-7385.937	-7359.068	-26.86919	21573.61	21.98757	0.991359	0.997776	1.0022	1.00867	8.337552
290	-7401.731	-7375.562	-26.16932	49448.5	18.98922	0.99429	0.998534	1.00145	1.00572	8.405757
300	-7384.028	-7348.637	-35.39089	67015.23	16.86374	0.995094	0.998742	1.00125	1.00491	8.903946
310	-7397.38	-7365.165	-32.21578	14803.5	17.57585	0.989572	0.997312	1.00265	1.01047	8.733305
320	-7379.951	-7352.382	-27.56913	126088.6	22.59186	0.996423	0.999083	1.00091	1.00358	8.333386
330	-7399.2	-7363.67	-35.5296	36582.9	17.58005	0.993362	0.998295	1.00169	1.00665	8.921858
340	-7369.908	-7339.708	-30.19998	207621.9	17.55492	0.997212	0.999286	1.00071	1.00279	8.6182
350	-7380.542	-7347.311	-33.23082	473912.4	17.66154	0.998154	0.999528	1.00047	1.00185	8.79177
360	-7368.433	-7338.195	-30.23762	886203.9	15.84609	0.99865	0.999655	1.00034	1.00135	8.530999
370	-7402.114	-7366.717	-35.39622	613207.7	18.69757	0.998377	0.999585	1.00041	1.00162	8.900198
380	-7393.764	-7357.653	-36.1118	855132.2	18.31389	0.998626	0.999649	1.00035	1.00137	8.947648
390	-7373.182	-7341.154	-32.02754	496873.1	17.56414	0.998197	0.999539	1.00046	1.0018	8.722435
400	-7397.191	-7358.268	-38.92225	795784.6	18.55237	0.998575	0.999636	1.00036	1.00143	9.093823
410	-7391.592	-7357.597	-33.99468	591612.2	16.71922	0.998348	0.999577	1.00042	1.00165	8.81625
420	-7389.568	-7355.899	-33.66863	644191.5	19.12676	0.998417	0.999595	1.0004	1.00158	8.796707
430	-7412.775	-7373.507	-39.2674	84083.87	16.82912	0.99562	0.998877	1.00112	1.00439	9.133359
440	-7385.668	-7358.204	-27.46377	222427.3	17.0426	0.997306	0.99931	1.00069	1.0027	8.442933
450	-7374.536	-7349.576	-24.96032	796908.9	19.79321	0.998576	0.999636	1.00036	1.00142	8.332415
460	-7378.875	-7354.758	-24.11687	878665.8	19.12972	0.998644	0.999653	1.00035	1.00136	8.297302
470	-7395.386	-7358.907	-36.47819	289286.7	19.01395	0.997638	0.999395	1.0006	1.00236	8.947759
480	-7395.784	-7369.762	-26.02154	369478.6	18.55453	0.99791	0.999465	1.00053	1.00209	8.398466
490	-7397.937	-7366.692	-31.24579	772053.7	18.79716	0.998554	0.99963	1.00037	1.00145	8.676683
500	-7402.106	-7360.271	-41.83547	69400.26	18.668	0.995179	0.998763	1.00123	1.00483	9.245897
510	-7390.735	-7356.402	-34.33323	851265.5	16.69834	0.998623	0.999648	1.00035	1.00138	8.835751
520	-7392.121	-7353.535	-38.58568	613167.3	18.18848	0.998377	0.999585	1.00041	1.00162	9.085912
530	-7393.886	-7364.873	-29.01297	148606	18.04912	0.996705	0.999156	1.00084	1.0033	8.558631
540	-7399.788	-7358.676	-41.11186	75599.31	16.09058	0.995381	0.998815	1.00118	1.00463	9.22735
550	-7374.246	-7350.996	-23.25057	698029.3	18.36062	0.998479	0.999611	1.00039	1.00152	8.246233
560	-7381.871	-7353.083	-28.78899	943243.5	21.64972	0.998692	0.999665	1.00033	1.00131	8.444305
570	-7383.922	-7353.832	-30.08959	384082.7	17.32174	0.99795	0.999475	1.00052	1.00205	8.606247
580	-7380.245	-7346.112	-34.13282	713288.2	17.17494	0.998495	0.999615	1.00038	1.00151	8.837149
590	-7380.079	-7355.132	-24.94723	483636.8	19.25261	0.998173	0.999533	1.00047	1.00183	8.339743
600	-7406.112	-7372.726	-33.3857	179306.2	17.99519	0.997	0.999232	1.00077	1.003	8.801101
610	-7383.16	-7363.901	-19.25837	222728.7	20.13819	0.997308	0.999311	1.00069	1.00269	8.04125
620	-7405.298	-7370.536	-34.76117	925154.6	16.72951	0.998679	0.999662	1.00034	1.00132	8.862442
630	-7404.473	-7364.95	-39.52276	263091.2	19.21742	0.997523	0.999366	1.00063	1.00248	9.098508
640	-7397.589	-7367.69	-29.89875	411160.9	17.94884	0.998018	0.999493	1.00051	1.00198	8.60694
650	-7382.998	-7343.205	-39.79312	879412.1	15.67181	0.998645	0.999653	1.00035	1.00136	9.124204
660	-7389.222	-7359.252	-29.96991	592468.4	17.71982	0.998349	0.999578	1.00042	1.00165	8.608103
670	-7396.376	-7358.081	-38.29547	868134.9	17.58044	0.998636	0.999651	1.00035	1.00136	9.079185
680	-7394.081	-7363.274	-30.80734	816091.9	16.02766	0.998593	0.99964	1.00036	1.00141	8.582081
690	-7398.052	-7361.215	-36.83665	575953	15.0502	0.998326	0.999572	1.00043	1.00168	8.879923
700	-7401.77	-7370.124	-31.64642	745768.2	18.21956	0.998528	0.999624	1.00038	1.00147	8.704289
710	-7390.758	-7356.87	-33.88766	193725.8	16.75546	0.997114	0.999261	1.00074	1.00289	8.811167
720	-7391.966	-7357.768	-34.19743	651236.2	16.86193	0.998425	0.999597	1.0004	1.00158	8.83312
730	-7385.631	-7351.13	-34.50093	462527.4	17.40355	0.998132	0.999522	1.00048	1.00187	8.861914
740	-7399.171	-7361.391	-37.78063	840092.4	17.68338	0.998614	0.999645	1.00035	1.00139	9.04921
750	-7402.043	-7366.996	-35.04713	306271.8	19.59378	0.997704	0.999412	1.00059	1.0023	8.850846
